,County,Price,Primary category,Venue Name,Venue id
22,Alameda,1,Thai Restaurant,Thai Noodle House of Alameda,4b08c390f964a520001223e3
23,Alameda,1,Bakery,Crispian Bakery,55b3c96d498e4c7fcec42220
24,Alameda,1,Donut Shop,Lee's Donuts,4ba4ff7bf964a5203dce38e3
25,Alameda,1,Italian Restaurant,La Val's Pizza,4b141c5bf964a5207b9d23e3
26,Alameda,1,Deli / Bodega,Santoro's,4be2d4cc21d5a59343651711
27,Alameda,1,Taco Place,Calafia Taqueria,4b1484b8f964a52027a423e3
28,Alameda,1,Noodle House,Wild Ginger,597ce11e851de5170ce4d729
29,Alameda,1,Deli / Bodega,Domenico's Italian Deli,4b2d55f9f964a5207dd424e3
30,Alameda,2,Brewery,Almanac Beer Co. Barrel House & Taproom,5a7283c6e1791027d6d0aae8
31,Alameda,2,Vietnamese Restaurant,Sidestreet Pho,5127d17de4b02a1718eab694
32,Alameda,2,Burmese Restaurant,Burma Superstar,4b3fcf3cf964a52058af25e3
33,Alameda,2,History Museum,"USS Hornet - Sea, Air and Space Museum",4a6cbe2df964a5207dd11fe3
34,Alameda,2,Bakery,Feel Good Bakery,4ad2669df964a52067e120e3
35,Alameda,2,Bar,American Oak,4f178073e4b04c15e631fec6
36,Alameda,2,Tiki Bar,Forbidden Island,45e6b309f964a5204c431fe3
37,Alameda,2,German Restaurant,Speisekammer,463de5c9f964a5203f461fe3
38,Alameda,2,Brewery,Alameda Island Brewing Company,5484ccdf498e236a048e14aa
39,Alameda,2,Sushi Restaurant,Utzutzu,5ad96b9f9be5224883d57fe7
40,Alameda,2,American Restaurant,Scolari's Good Eats,4c51f2fe9d642d7f4e8f6bde
41,Alameda,2,Coffee Shop,Blue Dot,4a709af4f964a520ebd71fe3
42,Alameda,2,Diner,Ole's Waffle Shop,4a5a9e6af964a520a9ba1fe3
43,Alameda,2,Winery,Rock Wall Wine Company,4abe54d4f964a520ca8c20e3
44,Alameda,2,Middle Eastern Restaurant,Angela's,55ed0e49498e815d60111165
45,Alameda,2,Mexican Restaurant,La Penca Azul,4c8c456e5e048cfa62aecbcd
46,Alameda,2,Café,WesCafe,4b0316d3f964a520914c22e3
47,Alameda,2,Eastern European Restaurant,Mama Papa Lithuania Restaurant & Tea House,52a4fa3d498ef887434020b4
48,Alameda,2,Pizza Place,East End,4dbb13251e72b351ca8fec4a
49,Alameda,2,Seafood Restaurant,East Ocean Seafood Restaurant,4adb6e82f964a520622721e3
50,Alameda,2,Vietnamese Restaurant,Dragon Rouge,4a876762f964a5203c0420e3
51,Alameda,2,Eastern European Restaurant,Aria supermarket,4c1aea5e8b3aa593957e965f
52,Alameda,2,Indian Restaurant,Curry Up Now,593da6da3fcee814ad98a2cd
53,Alameda,2,Mexican Restaurant,La Penca Azul,4b88825ef964a52021fd31e3
54,Alameda,2,Sushi Restaurant,Yojimbo Sushi,4b230913f964a520785224e3
55,Alameda,2,Café,Café Jolie,4f5d00d9e4b0090c0aff6dc6
56,Alameda,2,Thai Restaurant,Monkey Thai,51f32a86498e6dc75cb2a114
57,Alameda,2,New American Restaurant,The Hobnob,4a5bd49ef964a520d5bb1fe3
58,Alameda,2,Juice Bar,Jamba Juice,4af5a72bf964a520ddfa21e3
59,Alameda,2,American Restaurant,1400 Bar & Grill,4e3a0e481838961afefc0627
60,Alameda,3,Italian Restaurant,Trabocco Kitchen and Cocktails,52a8c5e911d28b6a4122b614
61,Amador,1,Bakery,Andrae's Bakery,4baf988bf964a520760e3ce3
62,Amador,1,Ice Cream Shop,Munnerlyn's Ice Creamery,4c22b5d39a67a593c202dd87
63,Amador,1,Pizza Place,Gold Dust Pizza,593b5aef340a5823a149b1bc
64,Amador,1,Deli / Bodega,Amador Vintage Market,4c38d8c3dfb0e21e6a64afa8
65,Amador,1,Café,Rosebud's Cafe,4f773ea6e4b0e91fa6be006d
66,Amador,1,Mexican Restaurant,El Torero,4c0aeec9ffb8c9b66a846c61
67,Amador,1,Diner,Marlene & Glen's Diner,4c6af0109669e21ebddba951
68,Amador,1,Burger Joint,88 Giant Burger,4b118d7ff964a520267f23e3
69,Amador,1,Mexican Restaurant,Colina de Oro,4c56386512f0d13a389304ad
70,Amador,1,Sandwich Place,TOGO'S Sandwiches,55ad442e498e00ffe0738edc
71,Amador,1,Mexican Restaurant,Las Minas,4bc66337d35d9c74fdb8e23a
72,Amador,1,Breakfast Spot,Perko's Cafe,4b5d011df964a520894e29e3
73,Amador,1,Juice Bar,Jamba Juice,4c41e5b5e26920a1a1265fe7
74,Amador,1,Coffee Shop,Starbucks,52869069498e3289da6750e7
75,Amador,1,Pizza Place,Papa Murphy's,4c3fbf43ff711b8d96760f05
76,Amador,1,Coffee Shop,Back Road Coffee House,4c1cef7cb9f876b007ad7c46
77,Amador,1,Sandwich Place,Subway,4c2a55da57a9c9b6bc53f467
78,Amador,1,Ice Cream Shop,Baskin-Robbins,4b9e46a8f964a520aed636e3
79,Amador,1,Sandwich Place,SUBWAY,4d00fac32685a35dd8b4cb90
80,Amador,1,Pizza Place,Round Table Pizza,4c520f66250dd13a82363b7e
81,Amador,2,Burger Joint,Mel & Fayes Diner,4b6f73a9f964a5201df12ce3
82,Amador,2,American Restaurant,Element,53d3e8b7498e619958a4106b
83,Amador,2,Brewery,Amador Brewing Company,5532e5a4498eb50d32af2dd2
84,Amador,2,Wine Bar,Bella Grace,4ebddc64e5fae164639a346e
85,Amador,2,Coffee Shop,Starbucks,4b7897aff964a52001d92ee3
86,Amador,2,Italian Restaurant,Strings Italian Cafe,4bd25930b221c9b68c9bd7d0
87,Amador,2,BBQ Joint,Dickey's Barbecue Pit,51214260e4b02b37b08347d0
88,Amador,2,American Restaurant,Thomi's Cafe And Bakery,4d5880397c0b37043cdde308
89,Amador,2,Mexican Restaurant,Jose's Mexican Restaurant,4c08408d7e3fc928b010f082
90,Amador,3,American Restaurant,Volcano Union Inn + Pub,4b88a897f964a520330732e3
91,Amador,4,Italian Restaurant,Teresa's Place,4c90208d590ab1f718fce47d
92,Amador,4,American Restaurant,Stanley's Steakhouse At The National Hotel,50a4734de4b07aa4bc4ba714
93,Amador,4,New American Restaurant,Taste Restaurant,4b5cf8edf964a520384d29e3
94,Butte,1,Burger Joint,In-N-Out Burger,4b6fa48bf964a520dcf82ce3
95,Butte,1,Ice Cream Shop,Shubert's Ice Cream & Candy,4b899ab0f964a5207c4532e3
96,Butte,1,Sandwich Place,Fast Eddie's Sandwich Shop,4de1550aae60e7f3abd4bb69
97,Butte,1,Burger Joint,Burger Hut,4bac025af964a520cadd3ae3
98,Butte,1,Coffee Shop,Dutch Bros. Coffee,4bc12d94920eb713146b1a2c
99,Butte,1,Pizza Place,Farm Star Pizza,4cf1b4d3cc61a35d69b6169e
100,Butte,1,Donut Shop,Donut Nook,4b8e033ff964a520ea1533e3
101,Butte,1,Café,Beatniks Coffee House & Breakfast Joint,4d885e27a0afdcb3e5ca96ab
102,Butte,1,Hookah Bar,Fusion Hookah Lounge,51f60d8b498ebfa0bc1fbf60
103,Butte,1,Pizza Place,Celestinos New York Pizza,4c153969a1010f477fb14d18
104,Butte,1,Deli / Bodega,Spiteri's Deli,4be5bc47bcef2d7f033c04e5
105,Butte,1,Coffee Shop,Dutch Bros. Coffee,4c87f54cbf40a1cda20809b4
106,Butte,1,Burger Joint,Madison Bear Garden,4af52585f964a5206ef821e3
107,Butte,1,Breakfast Spot,Morning Thunder Cafe,4b240019f964a520c45e24e3
108,Butte,1,Ice Cream Shop,La Flor De Michoacan Paleteria y Neveria,4f8230c7e4b0092780a9b892
109,Butte,1,Café,TBar Fusion Cafe,5335cbf8498e08875a665940
110,Butte,1,Sandwich Place,The Pita Pit,4b636091f964a52093752ae3
111,Butte,1,Coffee Shop,bidwell perk,5345c910498e7fd24a9d2d95
112,Butte,1,Dive Bar,Joe's Bar,4c2667b0136d20a18b4ee561
113,Butte,1,Coffee Shop,Starbucks,5762b81b498e24ee52facdca
114,Butte,1,Mexican Restaurant,La Cocina Economica,5344878111d2e1a8e2f946c1
115,Butte,1,Coffee Shop,Dutch Bros. Coffee,4ba520e8f964a52026e138e3
116,Butte,1,Coffee Shop,Dutch Bros. Coffee,4b6efbc8f964a520b4d42ce3
117,Butte,1,Pizza Place,Pop’s Wood-Fired Pizza,54889dd6498e797215754937
118,Butte,1,Sandwich Place,Beach Hut Deli,4bacf706f964a520f51e3be3
119,Butte,1,Mexican Restaurant,Chipotle Mexican Grill,51f9cd49498e73e14c509188
120,Butte,1,Mexican Restaurant,Mike's Grande Burger,4c16ab7874fb20a191785012
121,Butte,1,Coffee Shop,Starbucks,4b4cda74f964a520c6c126e3
122,Butte,1,Mexican Restaurant,Sol Mexican Grill,4db32c866a23c31a02fc70f9
123,Butte,1,Food Truck,Gordo Burrito Taco Truck,4f4812ace4b00005b8007b77
124,Butte,2,Cocktail Bar,Argus Bar + Patio,527db659498ece933a8ef7d9
125,Butte,2,Tea Room,T. Tea Bar & Fusion Cafe,4b390923f964a520bd5425e3
126,Butte,2,Bakery,Upper Crust Bakery & Eatery,4b5f4c2af964a520a0b229e3
127,Butte,2,Asian Restaurant,Rice Bowl,4b74ebb9f964a52023f82de3
128,Butte,2,Wine Bar,Wine Time,4f9363fae4b0e90bfbdc5546
129,Butte,2,Burger Joint,Nobby's,4b5a05c3f964a5205aa828e3
130,Butte,2,Gastropub,The Banshee,4b47ff30f964a5200f4626e3
131,Butte,2,Bar,B Street Public House,55565d8f498ee9e1e1b3090c
132,Butte,2,New American Restaurant,Broadway Heights California Cuisine,4b8ae923f964a5209b8832e3
133,Butte,2,American Restaurant,Ice Burgie,4b4cc406f964a520f8bd26e3
134,Butte,2,Bar,The Handle Bar,50c2a09ce4b0c7bb3f64f5dd
135,Butte,2,Coffee Shop,The Naked Lounge Tea and Coffeehouse,4b13020ff964a5208f9223e3
136,Butte,2,Pizza Place,Celestino's New York Pizza,4b56125af964a520ebfe27e3
137,Butte,2,Mexican Restaurant,Casa Lupe,4b1b09a3f964a520ddf623e3
138,Butte,2,Mexican Restaurant,La Hacienda Restaurant,4bf1ece33fa220a17ce71820
139,Butte,2,Diner,Kalico Kitchen,4c53835e1b46c9b680920dcd
140,Butte,2,Bar,Park Ave Pub,4cb3c222ef1b3704b7be5400
141,Butte,2,Vietnamese Restaurant,Pho C & C,4d2b71f9b818a35d63f5af8a
142,Butte,2,Italian Restaurant,Italian Cottage,4b9fd346f964a520154237e3
143,Butte,2,Italian Restaurant,Olive Garden,4b779489f964a5208ea22ee3
144,Butte,2,Breakfast Spot,Mom's,4b4e2603f964a520f7e226e3
145,Butte,2,Mexican Restaurant,Tres Hombres,4b109d87f964a520dd7323e3
146,Butte,2,Bar,Parkside Tap House,58c0deb04f218a16d102be03
147,Butte,2,Mexican Restaurant,Chipotle Mexican Grill,4b5a4acef964a520c8ba28e3
148,Butte,2,Breakfast Spot,Cafe Coda,4b537730f964a5204e9e27e3
149,Butte,2,Indian Restaurant,Priya Indian Cuisine,4bb15ccaf964a520d28e3ce3
150,Butte,2,Sushi Restaurant,Izakaya Ichiban,4ebef006d3e3700a5b27752a
151,Butte,2,Burger Joint,Burgers & Brew,4c56503e30d82d7f3272d762
152,Butte,2,New American Restaurant,The Pour House,4e0fd4937d8bb178a8b6e956
153,Butte,2,Breakfast Spot,Nash's Restaurant,4baf6d86f964a520fefe3be3
154,Butte,3,Brewery,Sierra Nevada Brewing Co.,4aa32a33f964a5208f4320e3
155,Butte,3,Italian Restaurant,Crush Italian Cuisine & Lounge,4b10ba90f964a520257523e3
156,Butte,3,Seafood Restaurant,Red Lobster,4b9d75b0f964a52048ae36e3
157,Butte,3,Tapas Restaurant,Basque Norte,4d2d56c5cd5f60fc3c9ead9c
158,Butte,4,Steakhouse,5th Street Steakhouse,4b6e19eef964a52092aa2ce3
159,Calaveras,1,Dive Bar,The Lube Room Saloon,55a2d231498e85b324bfe9d4
160,Calaveras,1,Beer Garden,Murphys PourHouse,55eb65a8498e795a5c1b583f
161,Calaveras,1,Snack Place,The Red Apple,4d169de8302da1cd1c87b693
162,Calaveras,1,Café,Alchemy Market & Cafe,4a767d0ef964a52011e31fe3
163,Calaveras,1,Sandwich Place,The Pickle Patch Deli And Gardens,4bc75b0815a7ef3bf63d79da
164,Calaveras,1,Bakery,Aria Bakery,4bc09b1d2a89ef3b18bef088
165,Calaveras,1,Ice Cream Shop,JoMa's Artisan Ice Cream,57670371498ebe1c9baac96b
166,Calaveras,1,Coffee Shop,Starbucks,4b82be71f964a520dae130e3
167,Calaveras,1,Burger Joint,Giant Burger,4fd252f0e4b065a35397673d
168,Calaveras,1,Mexican Restaurant,El Jardin,4c55e02b1b46c9b694eaf5d0
169,Calaveras,1,Coffee Shop,Gold Country Roasters,4d0a47f586b0236aa883b806
170,Calaveras,1,Coffee Shop,Starbucks,4bb6818e1344b713e9a19d04
171,Calaveras,1,Coffee Shop,Roasters Coffee Corner,52cb54ae498e1c1733391fbc
172,Calaveras,1,Chinese Restaurant,Far East Chinese Restaurant,4b8b1ef7f964a520cf9332e3
173,Calaveras,1,Pizza Place,Round Table Pizza,4e35b5667d8b0c62b2d79cb1
174,Calaveras,1,Pizza Place,Mikes Pizza of Angels,4b709b2df964a520dc242de3
175,Calaveras,1,Pizza Place,Pizza Plus,4bbfa10f2a89ef3bcf42ef88
176,Calaveras,1,Sandwich Place,Subway,4bc87e0792b376b09c76513a
177,Calaveras,1,New American Restaurant,Firewood,4b64c2f9f964a5201ece2ae3
178,Calaveras,1,Sandwich Place,Subway,4d9cbce348b6224b90bb149f
179,Calaveras,1,Sandwich Place,Subway,4c81a078d8086dcbf02e6f52
180,Calaveras,1,Diner,Hillbillies Restaurant,4c321e37ed37a59304506b03
181,Calaveras,1,Sandwich Place,Subway,50493048e0e24991c412cb9f
182,Calaveras,1,Pizza Place,Round Table Pizza,4bd115f4462cb71345cbd907
183,Calaveras,1,Pizza Place,Round Table Pizza,4ee95a70b8f7eaddf6b88d24
184,Calaveras,1,Mexican Restaurant,La Hacienda,4cf5b824c28df04dbe37c715
185,Calaveras,1,Fast Food Restaurant,Taco Bell,4d895b0f1508a14376e90c1e
186,Calaveras,2,Brewery,Snowshoe Brewing Company,4b848d15f964a5204c3b31e3
187,Calaveras,2,Mexican Restaurant,El Vaquero,4edc3b9193ad464d2ab9d092
188,Calaveras,2,Restaurant,Fusion Grill,4bfae7e6d0382d7ff0f3c80a
189,Calaveras,2,Cupcake Shop,Lila & Sage,4dc2ea83d4c07da16a03c808
190,Calaveras,2,Café,Grounds Restaurant,4a767e5cf964a52016e31fe3
191,Calaveras,2,Italian Restaurant,Sarafina's Italian Kitchen,4effc2faa69d45461d94149a
192,Calaveras,2,Bar,Old Corner Saloon,4c8d8731c37a6dcbedf8007b
193,Calaveras,3,New American Restaurant,V Bistro and Bar,4f07af82e4b0e89079d49b37
194,Calaveras,3,Gastropub,The Lucky Penny Public House,56352e78498e155da9467db0
195,Calaveras,3,BBQ Joint,Griff's BBQ & Grill,4e335847a809117a2289ea86
196,Calaveras,3,American Restaurant,CAMPS Restaurant @ Greenhorn Creek,4bbe78864e7bd13a4b149b7f
197,Colusa,1,Sandwich Place,SUBWAY,4d2a7e75849f3704f4ec8841
198,Colusa,1,Pizza Place,Round Table Pizza,4d4786684e7a6ea8a46b6c32
199,Colusa,1,Fast Food Restaurant,Burger King,4c52484f048b1b8d115a4e30
200,Colusa,1,Coffee Shop,Caffeinated,5766cc15498e30d939282c2a
201,Colusa,2,American Restaurant,Jeff's Freezettes,4b92e411f964a520c72434e3
202,Colusa,2,Restaurant,Chef Colus,4e866816cc210aef90b6969e
203,Contra Costa,1,Coffee Shop,Dutch Bros. Coffee,54373d91498ec64de4f20a2a
204,Contra Costa,1,Burger Joint,Gott’s Roadside,59ab6478c824ae769253ed86
205,Contra Costa,1,Bakery,Nothing Bundt Cakes,4f19d830e4b044fd33d8cc74
206,Contra Costa,1,Burger Joint,In-N-Out Burger,4f6b35d57bebf48a255dee10
207,Contra Costa,1,Coffee Shop,Coffee Shop,56d48e79498e71cd633a6d48
208,Contra Costa,1,Coffee Shop,States Coffee & Mercantile,5539774f498e983c7e4f94d2
209,Contra Costa,1,Café,Steeltown Coffee & Tea,4b837a82f964a520700731e3
210,Contra Costa,1,Café,Coffee Shop,550f0915498ed060309683bd
211,Contra Costa,1,Pizza Place,Blue Line Pizza,55837a07498e980b8cddf2c8
212,Contra Costa,1,Mexican Restaurant,Sombrero Mexican Food,4b1ed0bef964a520f11f24e3
213,Contra Costa,1,Sandwich Place,Mendocino Farms,5c86a79de4c459002c124eb6
214,Contra Costa,1,Food Truck,Off the Grid: Pleasant Hill,537bc15f498e1fc22ab035f0
215,Contra Costa,1,Sandwich Place,Cheese Steak Shop,46d71889f964a5206f4a1fe3
216,Contra Costa,1,Vietnamese Restaurant,Phở Huỹnh Hiệp (Kevin's Noodle House),4ee3eecae4b0b2590cf44c8d
217,Contra Costa,1,Coffee Shop,Philz Coffee,599f14ca851de52c6d8453eb
218,Contra Costa,1,Taco Place,Rubio's,4b74b700f964a5201eee2de3
219,Contra Costa,1,Sandwich Place,Morucci's Deli,4b5b694af964a520f3fb28e3
220,Contra Costa,1,Burger Joint,In-N-Out Burger,47d86382f964a5202b4e1fe3
221,Contra Costa,1,BBQ Joint,Kinder's Meats Deli BBQ,4f15cc50e4b047204914e924
222,Contra Costa,1,Dive Bar,Warehouse Cafe,4b514c66f964a5202e4a27e3
223,Contra Costa,1,Pizza Place,Slice House by Tony Gemignani,57532034498e603bcba488f2
224,Contra Costa,1,Pizza Place,DeVino's Pizza & Pasta,4b6db0b9f964a520c8862ce3
225,Contra Costa,1,Coffee Shop,Peet's Coffee & Tea,4a84386ef964a520f3fb1fe3
226,Contra Costa,1,Burger Joint,In-N-Out Burger,4abbb36ff964a520798420e3
227,Contra Costa,1,Ice Cream Shop,CREAM of Walnut Creek,51fbfbc68bbd8cbd70c609b4
228,Contra Costa,1,Mexican Restaurant,La Costa,4bf6eb8eb182c9b603c3745a
229,Contra Costa,1,Café,Sideboard Neighborhood Kitchen and Coffee Bar,574223fc498e619f1ce4aca0
230,Contra Costa,1,German Restaurant,The Junket,4a983740f964a520092b20e3
231,Contra Costa,1,Frozen Yogurt Shop,Ian's Yogurt,4bcb8c57fb84c9b6f61f1f3e
232,Contra Costa,1,Mexican Restaurant,Taqueria Maria,49e2b14ef964a5204e621fe3
233,Contra Costa,2,American Restaurant,Revel Kitchen & Bar,532e429e498e669d08a6cb19
234,Contra Costa,2,Ice Cream Shop,Lottie's Creamery,51292296e4b051c715ad5e69
235,Contra Costa,2,Latin American Restaurant,Taqueria La Bamba - Richmond,4b26d6fdf964a520c78124e3
236,Contra Costa,2,Deli / Bodega,Genova Delicatessen,4b327f76f964a520390d25e3
237,Contra Costa,2,Deli / Bodega,Domenico's Delicatessen,49f607fcf964a520f16b1fe3
238,Contra Costa,2,Peruvian Restaurant,El Mono,557389b4498e842192f6ca40
239,Contra Costa,2,Italian Restaurant,Locanda Ravello,55d69028498eba3407287737
240,Contra Costa,2,Diner,Digger's Diner Concord,4b9be94af964a520cc3436e3
241,Contra Costa,2,Mexican Restaurant,La Tapatia,4a54f3daf964a52075b31fe3
242,Contra Costa,2,Café,Sideboard Neighborhood Kitchen and Coffee Bar,533eda57498e7bf5dc72a977
243,Contra Costa,2,BBQ Joint,Sauced BBQ & Spirits,583266cafb549a1ff541d1fc
244,Contra Costa,2,Burger Joint,The Counter,4a75f04ef964a520bde11fe3
245,Contra Costa,2,Asian Restaurant,Lemongrass Bistro,4b4cd41ef964a5208ec026e3
246,Contra Costa,2,Fast Food Restaurant,Chick-fil-A,4c24d0db905a0f47df5a6060
247,Contra Costa,2,Pizza Place,Zachary's Chicago Pizza,5114592ce4b07f9f74a09c99
248,Contra Costa,2,Pizza Place,Pizza Antica,4a9c5beff964a520eb3620e3
249,Contra Costa,2,Mexican Restaurant,El Tapatio Restaurant & Cantina,4bdddf9affdec928cbc6e6a1
250,Contra Costa,2,Italian Restaurant,Melo's Pizza & Pasta,4aeb33d3f964a5208ebf21e3
251,Contra Costa,2,Vegetarian / Vegan Restaurant,Veggie Grill,54b47f64498e4338b6694b60
252,Contra Costa,2,Thai Restaurant,Lotus Thai Restaurant,551f61f8498ea443adf4775d
253,Contra Costa,2,Pizza Place,Zachary's Chicago Pizza,4afc8320f964a520752322e3
254,Contra Costa,2,Coffee Shop,Starbucks,4b4625d4f964a5201b1826e3
255,Contra Costa,2,Burger Joint,Pete's Brass Rail & Car Wash,49e7a16cf964a520ed641fe3
256,Contra Costa,2,Vietnamese Restaurant,Da Nang Tourane Vietnamese Restaurant,4e1f9be888774a43b7574eb4
257,Contra Costa,2,Beer Store,ØL Beer Cafe & Bottle Shop,4e7155bf45dd2c5c1a2b76d2
258,Contra Costa,2,Fried Chicken Joint,PolloPollo,5209371b11d205f642dd0b7f
259,Contra Costa,2,Diner,Black Bear Diner,5490afee498ebedb2c5a0447
260,Contra Costa,2,Salad Place,Lettuce,4b086143f964a520870a23e3
261,Contra Costa,2,Bar,Mountain House Bar,4c952d516b35a1437abb22dc
262,Contra Costa,2,Gastropub,Eureka!,55eddde7498e6fb41b8a6605
263,Contra Costa,3,American Restaurant,Bull Valley Roadhouse,4b382a92f964a520684c25e3
264,Contra Costa,3,American Restaurant,The Peasant & The Pear,4a9197fff964a520d51a20e3
265,Contra Costa,3,Seafood Restaurant,The Dead Fish,4b04f3a7f964a520f35622e3
266,Contra Costa,3,Wine Bar,Va de Vi Bistro & Wine Bar,4ad15593f964a52018de20e3
267,Contra Costa,3,New American Restaurant,Esin Restaurant & Bar,4b787363f964a5203ccf2ee3
268,Contra Costa,3,Italian Restaurant,Postino,4ad69cb4f964a520fd0721e3
269,Contra Costa,3,Gastropub,Jack's Taps,556b9cb1498e644507f6b640
270,Contra Costa,3,Sushi Restaurant,Sasa,4bca8e73b6c49c74dfdf9091
271,Contra Costa,3,Italian Restaurant,Piatti,4d5a001bf8ff236a5390d14a
272,Contra Costa,3,Tapas Restaurant,Telefèric Barcelona,562276a8498e2c18c2387b81
273,Contra Costa,3,American Restaurant,The Hideout,553aafc8498e14d2315c8534
274,Contra Costa,3,Restaurant,True Food Kitchen,58112ac938fabe486bcc2fcf
275,Contra Costa,3,American Restaurant,Blackhawk Grille,4b341da2f964a5202c2525e3
276,Contra Costa,4,Steakhouse,Ruth's Chris Steak House,4b33d1fcf964a520db1f25e3
277,Contra Costa,4,Italian Restaurant,Montecatini Ristorante,4ab2f1b5f964a520116d20e3
278,Del Norte,1,Deli / Bodega,Vita Cucina Bakery & Gourmet Foods,532b550b498ebe285c4821cb
279,Del Norte,1,Coffee Shop,Java Hut,4f404407e4b080aa77fb9628
280,Del Norte,1,Burger Joint,CC's Diner,4f246509e4b000874252c792
281,Del Norte,1,Chinese Restaurant,Wing Wah,4c426254af052d7f31f47e79
282,Del Norte,1,Mexican Restaurant,Cazadores,4cddf693f8a4a143f8e4d3bc
283,Del Norte,1,Diner,Denny's,4bf623a6bfeac9288aed9336
284,Del Norte,1,Coffee Shop,Starbucks,4bace108f964a52007153be3
285,Del Norte,1,Mexican Restaurant,Perlita's Authentic Mexican Food,4ba96201f964a52074233ae3
286,Del Norte,1,Coffee Shop,Dutch Bros. Coffee,4c5f3377cd522d7f5277cb3f
287,Del Norte,1,Pizza Place,Papa Murphys Pizza,4e13bf17227146630ab71216
288,Del Norte,1,Sandwich Place,Subway,4cc77e29ee718cfa1137b23d
289,Del Norte,1,Sandwich Place,Subway,51099906e4b0436bea1f52af
290,Del Norte,1,Sandwich Place,Subway,4c01d78d27dcc9289643e152
291,Del Norte,1,Fast Food Restaurant,Taco Bell,4d191c3fbb488cfa9b3fbad4
292,Del Norte,1,Breakfast Spot,The Hiouchi Cafe,4e07a3a9d22d658532a7775f
293,Del Norte,1,Café,The Good Harvest Cafe,4b3beb9ef964a520657e25e3
294,Del Norte,1,Pizza Place,Pizza Hut,4c393d541e06d13afb5f793e
295,Del Norte,1,Fast Food Restaurant,McDonald's,4beeb098e8c3c92861f69892
296,Del Norte,1,Fast Food Restaurant,Jack in the Box,4bfb1330f214a59363c2ae0e
297,Del Norte,1,Fast Food Restaurant,Burger King,4c02caf239d476b0fb302fa7
298,Del Norte,2,Brewery,SeaQuake Brewing,5791704a498ef657a7b97755
299,Del Norte,2,Seafood Restaurant,Harbor View Grotto,4ba40b2bf964a520207b38e3
300,Del Norte,2,Restaurant,North Coast Ocean Sports & Grill,568ed744498e0855cec900fa
301,Del Norte,2,Brewery,Port O' Pints,5685b769498e3b32ae78aca4
302,Del Norte,2,Diner,The Apple Peddler,4c0310249a7920a1b973cf79
303,Del Norte,3,Seafood Restaurant,The Chart Room,4bfc2300b5cd2d7f012431fb
304,Del Norte,3,Seafood Restaurant,Fisherman's Restaurant,4b7841d2f964a52016c02ee3
305,El Dorado,1,Chinese Restaurant,China City,4c6ed58ad274b60c81bbd40d
306,El Dorado,1,Mexican Restaurant,Fernando's Costa Del Sol,4b98113ef964a520212a35e3
307,El Dorado,1,Mexican Restaurant,Los Pinos,4f760590e4b02125aba7dc94
308,El Dorado,1,Hot Dog Joint,RUFFHAUS Hot Dog Co.,4c31003416adc928a300c09c
309,El Dorado,1,Coffee Shop,Peet's Coffee & Tea,4b1aa08ef964a520c3ed23e3
310,El Dorado,1,Sandwich Place,Beach Hut Deli,4b54cae7f964a520b0cc27e3
311,El Dorado,1,Mexican Restaurant,Taqueria El Dorado Mexican Grill,50312b0be4b06888b7c310e4
312,El Dorado,1,Breakfast Spot,The Train Station,4c8a3a681eafb1f792317835
313,El Dorado,1,Café,Zia's,52d834d811d235437009e3e7
